Verification_ID,Agent_ID,Payment_Amount
VER-005119,AGT-036,15.5
VER-008932,AGT-010,15.5
VER-008516,AGT-045,15.5
VER-007283,AGT-037,15.5
VER-007624,AGT-043,15.5
VER-006030,AGT-023,15.5
VER-003330,AGT-044,15.5
VER-008935,AGT-005,15.5
VER-003880,AGT-007,15.5
VER-003782,AGT-017,15.5
VER-001670,AGT-010,15.5
VER-002109,AGT-037,15.5
VER-003038,AGT-047,15.5
VER-009626,AGT-024,15.5
VER-003541,AGT-017,15.5
VER-008963,AGT-014,15.5
VER-005390,AGT-012,15.5
VER-009297,AGT-029,15.5
VER-001278,AGT-021,15.5
VER-003530,AGT-034,15.5
VER-001881,AGT-021,15.5
VER-009570,AGT-005,15.5
VER-003060,AGT-050,15.5
VER-001958,AGT-011,15.5
VER-001195,AGT-038,15.5
VER-004640,AGT-033,15.5
VER-006876,AGT-050,15.5
VER-001869,AGT-002,15.5
VER-003185,AGT-006,15.5
VER-003786,AGT-022,15.5
VER-009955,AGT-050,15.5
VER-002927,AGT-023,15.5
VER-006081,AGT-033,15.5
VER-001524,AGT-047,15.5
VER-006430,AGT-023,15.5
VER-006979,AGT-028,15.5
VER-007977,AGT-046,15.5
VER-001069,AGT-013,15.5
VER-005467,AGT-032,15.5
VER-001579,AGT-035,15.5
VER-004903,AGT-036,15.5
VER-009988,AGT-034,15.5
VER-008171,AGT-036,15.5
VER-002630,AGT-036,15.5
VER-005318,AGT-010,15.5
VER-001079,AGT-015,15.5
VER-005118,AGT-040,15.5
VER-000711,AGT-011,15.5
VER-004140,AGT-045,15.5
VER-002110,AGT-005,15.5
VER-009925,AGT-025,15.5
VER-000544,AGT-043,15.5
VER-000036,AGT-047,15.5
VER-008920,AGT-016,15.5
VER-009199,AGT-013,15.5
VER-006640,AGT-007,15.5
VER-008077,AGT-014,15.5
VER-002458,AGT-013,15.5
VER-001374,AGT-019,15.5
VER-000034,AGT-016,15.5
VER-000319,AGT-033,15.5
VER-005004,AGT-021,15.5
VER-001436,AGT-034,15.5
VER-007727,AGT-020,15.5
VER-002681,AGT-023,15.5
VER-004922,AGT-001,15.5
VER-002068,AGT-020,15.5
VER-003101,AGT-025,15.5
VER-003835,AGT-036,15.5
VER-005787,AGT-020,15.5
VER-007919,AGT-013,15.5
VER-009346,AGT-032,15.5
VER-009894,AGT-050,15.5
VER-005639,AGT-008,15.5
VER-005994,AGT-004,15.5
VER-000425,AGT-002,15.5
VER-008741,AGT-048,15.5
VER-002593,AGT-037,15.5
VER-005959,AGT-043,15.5
VER-002186,AGT-049,15.5
VER-008656,AGT-010,15.5
VER-003795,AGT-022,15.5
VER-004930,AGT-021,15.5
VER-006396,AGT-038,15.5
VER-001684,AGT-035,15.5
VER-002877,AGT-049,15.5
VER-008919,AGT-018,15.5
VER-005573,AGT-013,15.5
VER-000347,AGT-028,15.5
VER-003449,AGT-030,15.5
VER-005012,AGT-033,15.5
VER-009013,AGT-009,15.5
VER-005225,AGT-028,15.5
VER-009542,AGT-014,15.5
VER-008710,AGT-038,15.5
VER-008147,AGT-012,15.5
VER-008275,AGT-019,15.5
VER-001651,AGT-012,15.5
VER-009119,AGT-050,15.5
VER-004697,AGT-005,15.5
VER-000470,AGT-034,15.5
VER-009879,AGT-040,15.5
VER-008234,AGT-023,15.5
VER-000968,AGT-026,15.5
VER-006197,AGT-022,15.5
VER-001331,AGT-023,15.5
VER-000451,AGT-040,15.5
VER-008941,AGT-036,15.5
VER-008676,AGT-046,15.5
VER-004793,AGT-021,15.5
VER-008759,AGT-005,15.5
VER-004748,AGT-038,15.5
VER-000563,AGT-041,15.5
VER-003669,AGT-017,15.5
VER-000136,AGT-037,15.5
VER-003686,AGT-028,15.5
VER-002190,AGT-020,15.5
VER-005280,AGT-043,15.5
VER-000971,AGT-017,15.5
VER-008820,AGT-016,15.5
VER-003708,AGT-048,15.5
VER-002956,AGT-039,15.5
VER-004000,AGT-019,15.5
VER-003263,AGT-046,15.5
VER-004846,AGT-045,15.5
VER-006428,AGT-045,15.5
VER-000040,AGT-007,15.5
VER-002590,AGT-043,15.5
VER-002184,AGT-005,15.5
VER-004451,AGT-010,15.5
VER-002819,AGT-008,15.5
VER-000714,AGT-035,15.5
VER-008378,AGT-020,15.5
VER-007501,AGT-015,15.5
VER-002471,AGT-039,15.5
VER-008073,AGT-043,15.5
VER-004195,AGT-001,15.5
VER-005799,AGT-035,15.5
VER-008911,AGT-035,15.5
VER-009555,AGT-039,15.5
VER-007969,AGT-015,15.5
VER-003777,AGT-009,15.5
VER-002488,AGT-003,15.5
VER-007404,AGT-007,15.5
VER-005770,AGT-044,15.5
VER-007939,AGT-026,15.5
VER-005517,AGT-023,15.5
VER-006548,AGT-042,15.5
VER-000566,AGT-050,15.5
VER-001871,AGT-014,15.5
VER-006898,AGT-019,15.5
VER-004814,AGT-045,15.5
VER-005958,AGT-019,15.5
VER-005732,AGT-017,15.5
VER-007786,AGT-012,15.5
VER-000304,AGT-020,15.5
VER-002961,AGT-048,15.5
VER-003910,AGT-042,15.5
VER-003465,AGT-041,15.5
VER-000312,AGT-046,15.5
VER-009092,AGT-019,15.5
VER-003678,AGT-037,15.5
VER-006662,AGT-037,15.5
VER-004221,AGT-043,15.5
VER-005454,AGT-019,15.5
VER-001731,AGT-006,15.5
VER-002128,AGT-005,15.5
VER-002393,AGT-042,15.5
VER-002376,AGT-002,15.5
VER-008833,AGT-011,15.5
VER-006320,AGT-040,15.5
VER-007743,AGT-036,15.5
VER-005816,AGT-001,15.5
VER-004383,AGT-024,15.5
VER-005199,AGT-012,15.5
VER-005134,AGT-019,15.5
VER-002871,AGT-030,15.5
VER-005932,AGT-031,15.5
VER-008835,AGT-034,15.5
VER-008655,AGT-044,15.5
VER-004897,AGT-018,15.5
VER-005492,AGT-037,15.5
VER-000004,AGT-043,15.5
VER-009267,AGT-021,15.5
VER-002459,AGT-025,15.5
VER-001286,AGT-022,15.5
VER-008099,AGT-035,15.5
VER-009138,AGT-024,15.5
VER-008184,AGT-032,15.5
VER-005468,AGT-015,15.5
VER-001685,AGT-020,15.5
VER-007411,AGT-011,15.5
VER-005206,AGT-026,15.5
VER-002983,AGT-020,15.5
VER-003413,AGT-036,15.5
VER-001085,AGT-049,15.5
VER-007689,AGT-033,15.5
VER-003149,AGT-026,15.5
VER-000938,AGT-014,15.5
VER-001040,AGT-006,15.5
VER-003596,AGT-001,15.5
VER-001892,AGT-015,15.5
VER-008508,AGT-041,15.5
VER-008181,AGT-002,15.5
VER-002168,AGT-015,15.5
VER-008167,AGT-030,15.5
VER-009347,AGT-024,15.5
VER-005850,AGT-022,15.5
VER-006174,AGT-014,15.5
VER-009197,AGT-018,15.5
VER-000440,AGT-044,15.5
VER-008672,AGT-049,15.5
VER-008383,AGT-043,15.5
VER-007356,AGT-013,15.5
VER-001473,AGT-049,15.5
VER-008878,AGT-036,15.5
VER-003871,AGT-050,15.5
VER-006426,AGT-034,15.5
VER-007481,AGT-041,15.5
VER-002233,AGT-026,15.5
VER-000252,AGT-019,15.5
VER-006131,AGT-026,15.5
VER-009142,AGT-008,15.5
VER-008595,AGT-039,15.5
VER-003210,AGT-049,15.5
VER-007261,AGT-032,15.5
VER-002349,AGT-047,15.5
VER-006432,AGT-014,15.5
VER-006350,AGT-048,15.5
VER-005051,AGT-001,15.5
